testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
TESTTEXTID,TC3_4,errorcheck_result,宿泊日が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-5. 宿泊日を数字以外にした場合「年月日、期間、人数いずれかの値が半角英数の範囲外です」と表示されることの確認
//EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTILLUGALINPUT,,reserve_year,reserve_month,reserve_day,A,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_5,errorcheck_result,年月日、期間、人数いずれかの値が半角英数の範囲外です,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-6. 宿泊日数を0日にした場合は、予約確認画面で「宿泊日数が1日以下です」と表示されることの確認
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_6,errorcheck_result,宿泊日数が1日以下です,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-7. 泊数を空白にした場合「泊数が指定されていません」と表示されることの確認
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTBRANKINPUT,,,,reserve_term,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_7,errorcheck_result,泊数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-8. 泊数を数字以外にした場合「年月日、期間、人数いずれかの値が半角英数の範囲外です」と表示されることの確認
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
//EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTILLUGALINPUT,,,,reserve_term,A,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_8,errorcheck_result,年月日、期間、人数いずれかの値が半角英数の範囲外です,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-9. 人数を空白にした場合「人数が指定されていません」
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_9,errorcheck_result,人数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-10. 人数を0人にした場合「人数が入力されていません。」
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_10,errorcheck_result,人数が入力されていません。,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-11. 人数を数字以外にした場合「年月日、期間、人数いずれかの値が半角英数の範囲外です」と表示されることの確認
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTILLUGALINPUT,,,,headcount,A,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_11,errorcheck_result,年月日、期間、人数いずれかの値が半角英数の範囲外です,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-12. 名前欄を空白にした場合は、予約確認画面で「お名前が指定されていません」と表示されることの確認
EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_1day,reserve_term,1,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_12,errorcheck_result,お名前が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-13. 3か月以上先を初日とし、宿泊日数を0日にし、人数を0人にした場合は、「宿泊日数が1日以下です」
EVENT3MONTHAGO,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_13,errorcheck_result,宿泊日数が1日以下です,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-14. 3か月以上先を初日とし、宿泊日数を空白にし、人数を数字以外にし、名前欄を空白にした場合は、「泊数が指定されていません」
EVENT3MONTHAGO,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTBRANKINPUT,,,,reserve_term,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTILLUGALINPUT,,,,headcount,A,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_14,errorcheck_result,泊数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-15. 3か月以上先を初日とし、宿泊日数を数字以外にし、人数を空白にし、名前欄を空白にした場合は、「人数が指定されていません」
EVENT3MONTHAGO,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTILLUGALINPUT,,,,reserve_term,A,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_15,errorcheck_result,人数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-16. 宿泊日をあり得ない日にち（32日）にし、宿泊日数を0日にし、人数を0人にし、名前欄を空白にした場合は、「お名前が指定されていません」
//EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTILLUGALINPUT,,reserve_year,reserve_month,reserve_day,32,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_16,errorcheck_result,お名前が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-17. 宿泊日をあり得ない日にち（32日）にし、宿泊日数を空白にし、人数を数字以外にし、名前欄を空白にした場合は、「泊数が指定されていません」
EVENTILLUGALINPUT,,reserve_year,reserve_month,reserve_day,32,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTBRANKINPUT,,,,reserve_term,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTILLUGALINPUT,,,,headcount,A,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_17,errorcheck_result,泊数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-18. 宿泊日をあり得ない日にち（32日）にし、宿泊日数を数字以外にし、人数を空白にした場合は、「人数が指定されていません」
EVENTILLUGALINPUT,,reserve_year,reserve_month,reserve_day,32,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTILLUGALINPUT,,,,reserve_term,A,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_18,errorcheck_result,人数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-19. 宿泊日を空白にし、宿泊日数を0日にし、人数を数字以外にした場合は、「宿泊日が指定されていません」
EVENTBRANKINPUT,,,,reserve_day,,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTILLUGALINPUT,,,,headcount,A,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_19,errorcheck_result,宿泊日が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-20. 宿泊日を空白にし、宿泊日数を空白にし、人数を空白にし、名前欄を空白にした場合は、「宿泊日が指定されていません」
EVENTBRANKINPUT,,,,reserve_day,,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTBRANKINPUT,,,,reserve_term,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_20,errorcheck_result,宿泊日が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-21. 宿泊日を空白にし、宿泊日数を数字以外にし、人数を0人にし、名前欄を空白にした場合は、「宿泊日が指定されていません」
EVENTBRANKINPUT,,,,reserve_day,,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTILLUGALINPUT,,,,reserve_term,A,,1000
EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
//EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_21,errorcheck_result,宿泊日が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-22. 宿泊日を数字以外にし、宿泊日数を0日にし、人数を空白にし、名前欄を空白にした場合は、「人数が指定されていません」
EVENTILLUGALINPUT,,,,reserve_day,A,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_22,errorcheck_result,人数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-23. 宿泊日を数字以外にし、宿泊日数を空白にし、人数を0人にした場合は、「泊数が指定されていません」
EVENTILLUGALINPUT,,,,reserve_day,A,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTBRANKINPUT,,,,reserve_term,,,1000
EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
//EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_23,errorcheck_result,泊数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-24. 宿泊日を数字以外にし、宿泊日数を数字以外にし、人数を数字以外にした場合は、「年月日、期間、人数いずれかの値が半角英数の範囲外です」
EVENTILLUGALINPUT,,,,reserve_day,A,,1000
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTILLUGALINPUT,,,,reserve_term,A,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
EVENTILLUGALINPUT,,,,headcount,A,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_24,errorcheck_result,年月日、期間、人数いずれかの値が半角英数の範囲外です,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-25. 当日予約しようとし、宿泊日数を0日にし、人数を空白にした場合は、「人数が指定されていません」
//EVENTWEEKDAY,reserveDate_weekDayTest,reserve_year,reserve_month,reserve_day,,,1000
EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_25,errorcheck_result,人数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-26. 当日予約しようとし、宿泊日数を空白にし、人数を数字以外にし、名前欄を空白にした場合は、「泊数が指定されていません」
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTBRANKINPUT,,,,reserve_term,,,1000
//EVENTHEADCOUNT,reserveHeadCountTest_1people,headcount,1,,,,1000
EVENTILLUGALINPUT,,,,headcount,A,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_26,errorcheck_result,泊数が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

//TC3-27. 当日予約しようとし、宿泊日数を数字以外にし、人数を0人にし、名前欄を空白にした場合は、「お名前が指定されていません」
//EVENTTERM,reserveTermTest_0day,reserve_term,0,,,,1000
EVENTILLUGALINPUT,,,,reserve_term,A,,1000
EVENTHEADCOUNT,reserveHeadCountTest_0people,headcount,0,,,,1000
//EVENTBRANKINPUT,,,,headcount,,,1000
EVENTBREAKFAST,Breakfast_not_order,breakfast_off,off,,,,1000
//EVENTGUESTNAME,GuestName_YoshinoKazuhiro,guestname,吉野和宏,,,,1000

EVENTID,GoToNext,goto_next,,,,,1000

TESTTEXTID,TC3_27,errorcheck_result,お名前が指定されていません,,,,1000

EVENTID,returnReserveForm,returnto_index,,,,,1000
REFRESH,,,,,,1000

